YearCountry,Country,Year,Gold,Silver,Bronze,Total,Athletes,Population,GDP,Latitude,Longitude,Altitude(meters)
2008 Sudan , Sudan ,2008,0,1,0,1,8,30894000,486.16,,,
2008 Sweden , Sweden ,2008,0,4,1,5,12,9490683,503.22,,,
2008 Switzerland , Switzerland ,2008,2,1,4,7,7,7870100,466.0,,,
2008 Tajikistan , Tajikistan ,2008,0,1,1,2,2,7616000,5.16,,,
2008 Thailand , Thailand ,2008,2,2,2,6,11,65479453,272.58,,,
2008 Togo , Togo ,2008,0,0,1,1,1,6191155,3.16,,,
2008 Trinidad and Tobago , Trinidad and Tobago ,2008,1,1,0,2,23,1317714,28.02,,,
2008 Tunisia , Tunisia ,2008,1,0,0,1,4,10673800,44.88,,,
2008 Turkey , Turkey ,2008,1,1,3,5,15,74724269,730.34,,,
2008 Ukraine , Ukraine ,2008,7,4,11,22,66,45644419,179.99,,,
2008 United States , United States ,2008,36,39,37,112,121,313382000,14219.3,,,
2008 Uzbekistan , Uzbekistan ,2008,0,1,3,4,12,29123400,27.92,,,
2008 Venezuela , Venezuela ,2008,0,0,1,1,4,27150095,315.6,,,
2008 Vietnam , Vietnam ,2008,0,1,0,1,2,87840000,91.09,,,
2008 Zimbabwe , Zimbabwe ,2008,1,3,0,4,7,12754000,4.42,,,
2004 Argentina , Argentina ,2004,2,0,4,6,9,37299220,153.13,,,
2004 Australia , Australia ,2004,17,16,17,50,45,20091834,615.5,,,
2004 Austria , Austria ,2004,2,4,1,7,6,8175566,291.43,,,
2004 Azerbaijan , Azerbaijan ,2004,1,0,4,5,5,8105395,8.68,,,
2004 Bahamas , Bahamas ,2004,1,0,1,2,18,311981,7.09,,,
2004 Belarus , Belarus ,2004,2,5,6,13,43,9769363,23.14,,,
2004 Belgium , Belgium ,2004,1,0,2,3,18,10335500,361.68,,,
2004 Brazil , Brazil ,2004,5,2,3,10,37,180654250,663.76,,,
2004 Bulgaria , Bulgaria ,2004,2,1,9,12,20,7828492,25.28,,,
2004 Cameroon , Cameroon ,2004,1,0,0,1,8,16623500,15.78,,,
2004 Canada , Canada ,2004,3,6,3,12,23,31666333,992.23,,,
2004 Chile , Chile ,2004,2,0,1,3,3,16023866,95.65,,,
2004 China , China ,2004,32,17,14,63,52,1297944000,1931.64,,,
2004 Chinese Taipei , Chinese Taipei ,2004,2,2,1,5,2,22755225,117.19,,,
2004 Colombia , Colombia ,2004,0,0,2,2,13,43648485,41.0,,,
2004 Croatia , Croatia ,2004,1,2,2,5,12,4475649,38.2,,,
2004 Cuba , Cuba ,2004,9,7,11,27,39,11231918,113.98,,,
2004 Czech Republic , Czech Republic ,2004,1,3,5,9,36,10218595,244.73,,,
2004 Denmark , Denmark ,2004,2,1,5,8,5,5402451,22.04,,,
2004 Dominican Republic , Dominican Republic ,2004,1,0,0,1,6,9324633,78.85,,,
2004 Egypt , Egypt ,2004,1,1,3,5,2,74959020,1.11,,,
2004 Eritrea , Eritrea ,2004,0,0,1,1,4,4375384,12.03,,,
2004 Estonia , Estonia ,2004,0,1,2,3,15,1348999,10.05,,,
2004 Ethiopia , Ethiopia ,2004,2,3,2,7,25,69960840,189.06,,,
2004 Finland , Finland ,2004,0,2,0,2,30,5228095,2055.68,,,
2004 France , France ,2004,11,9,13,33,61,60197760,5.13,,,
2004 Georgia , Georgia ,2004,2,2,0,4,3,4688957,2726.34,,,
2004 Germany , Germany ,2004,13,16,20,49,86,82470430,2201.42,,,
2004 Great Britain , Great Britain ,2004,9,9,12,30,58,59834300,227.95,,,
2004 Greece , Greece ,2004,6,6,4,16,66,10820759,165.89,,,
2004 Hong Kong , Hong Kong ,2004,0,1,0,1,2,6962569,101.93,,,
2004 Hungary , Hungary ,2004,8,6,3,17,39,10082193,721.59,,,
2004 India , India ,2004,0,1,0,1,19,1079721000,256.84,,,
2004 Indonesia , Indonesia ,2004,1,1,2,4,2,224542666,163.23,,,
2004 Iran , Iran ,2004,2,2,2,6,2,67315140,126.57,,,
2004 Israel , Israel ,2004,1,0,1,2,5,6861000,1735.52,,,
2004 Italy , Italy ,2004,10,11,11,32,54,58136026,10.13,,,
2004 Jamaica , Jamaica ,2004,2,1,2,5,45,2642000,4655.8,,,
2004 Japan , Japan ,2004,16,9,12,37,41,127621332,43.15,,,
2004 Kazakhstan , Kazakhstan ,2004,1,4,3,8,22,14956480,16.1,,,
2004 Kenya , Kenya ,2004,1,4,2,7,32,33467330,13.76,,,
2004 Latvia , Latvia ,2004,0,4,0,4,17,2312791,22.55,,,
2004 Lithuania , Lithuania ,2004,1,2,0,3,59,3465643,759.78,,,
2004 Mexico , Mexico ,2004,0,3,1,4,27,103019731,1.99,,,
2004 Mongolia , Mongolia ,2004,0,0,1,1,2,2737118,56.95,,,
2004 Morocco , Morocco ,2004,2,1,0,3,27,30628813,609.89,,,
2004 Netherlands , Netherlands ,2004,4,9,9,22,25,16299965,102.21,,,
2004 New Zealand , New Zealand ,2004,3,2,0,5,15,4058949,87.85,,,
2004 Nigeria , Nigeria ,2004,0,0,2,2,26,137502444,22.26,,,
2004 North Korea , North Korea ,2004,0,4,1,5,4,22559912,260.03,,,
2004 Norway , Norway ,2004,5,0,1,6,10,4586170,6.95,,,
2004 Paraguay , Paraguay ,2004,0,1,0,1,2,5922514,252.77,,,
2004 Poland , Poland ,2004,3,2,5,10,55,38330516,185.4,,,
2004 Portugal , Portugal ,2004,0,2,1,3,32,10288313,75.49,,,
2004 Romania , Romania ,2004,8,5,6,19,28,22541275,591.02,,,
2004 Russia , Russia ,2004,28,26,36,90,130,143840066,23.65,,,
2004 Serbia and Montenegro , Serbia and Montenegro ,2004,0,2,0,2,7,8084813,56.07,,,
2004 Slovakia , Slovakia ,2004,2,2,2,6,12,5396155,33.84,,,
2004 Slovenia , Slovenia ,2004,0,1,3,4,18,1997000,219.09,,,
2004 South Africa , South Africa ,2004,1,3,2,6,38,46700000,721.98,,,
2004 South Korea , South Korea ,2004,9,12,9,30,18,48187106,1044.61,,,
2004 Spain , Spain ,2004,3,11,6,20,71,41888143,362.09,,,
2004 Sweden , Sweden ,2004,4,2,1,7,15,8671959,362.99,,,
2004 Switzerland , Switzerland ,2004,1,1,3,5,10,7406593,25.09,,,
2004 Syria , Syria ,2004,0,0,1,1,2,18393723,340.0,,,
2004 Thailand , Thailand ,2004,3,1,4,8,3,65660394,161.34,,,
2004 Trinidad and Tobago , Trinidad and Tobago ,2004,0,0,1,1,21,1301307,12.88,,,
2004 Turkey , Turkey ,2004,3,3,5,11,13,70397806,392.17,,,
2004 Ukraine , Ukraine ,2004,8,5,9,22,54,47538026,64.88,,,
2004 United Arab Emirates , United Arab Emirates ,2004,1,0,0,1,1,3599666,147.82,,,
2004 United States , United States ,2004,36,39,26,101,140,293694333,11797.8,,,
2004 Uzbekistan , Uzbekistan ,2004,2,1,2,5,11,25985078,12.03,,,
2004 Venezuela , Venezuela ,2004,0,0,2,2,5,26127000,112.45,,,
2004 Zimbabwe , Zimbabwe ,2004,1,1,1,3,6,12804080,5.81,,,
2000 Algeria , Algeria ,2000,1,1,3,5,21,30950322,54.79,,,
2000 Argentina , Argentina ,2000,0,2,2,4,11,36858473,284.2,,,
2000 Armenia , Armenia ,2000,0,0,1,1,3,3169445,1.91,,,
2000 Australia , Australia ,2000,16,25,17,58,82,19158366,416.89,,,
2000 Austria , Austria ,2000,2,1,0,3,12,8011561,192.07,,,
2000 Azerbaijan , Azerbaijan ,2000,2,0,1,3,4,8054445,5.27,,,
2000 Bahamas , Bahamas ,2000,2,0,1,3,19,299286,6.33,,,
2000 Barbados , Barbados ,2000,0,0,1,1,11,268906,2.56,,,
2000 Belarus , Belarus ,2000,3,3,11,17,31,10125573,12.74,,,
2000 Belgium , Belgium ,2000,0,2,3,5,9,10248168,232.67,,,
2000 Brazil , Brazil ,2000,0,6,6,12,18,173857700,644.7,,,
2000 Bulgaria , Bulgaria ,2000,5,6,2,13,22,7842124,12.9,,,
2000 Cameroon , Cameroon ,2000,1,0,0,1,11,15139138,10.08,,,
2000 Canada , Canada ,2000,3,3,8,14,36,30826566,724.92,,,
2000 Chile , Chile ,2000,0,0,1,1,7,15411830,75.21,,,
2000 China , China ,2000,28,16,14,58,26,1262374160,1198.47,,,
2000 Chinese Taipei , Chinese Taipei ,2000,0,1,4,5,2,22350362,100.36,,,
2000 Colombia , Colombia ,2000,1,0,0,1,11,43193863,15.95,,,
2000 Costa Rica , Costa Rica ,2000,0,0,2,2,1,3544143,21.52,,,
2000 Croatia , Croatia ,2000,1,0,1,2,15,4429072,30.57,,,
2000 Cuba , Cuba ,2000,11,11,7,29,33,11142000,58.81,,,
2000 Czech Republic , Czech Republic ,2000,2,3,3,8,24,10272933,160.08,,,
2000 Denmark , Denmark ,2000,2,3,1,6,4,5337344,5.68,,,
2000 Estonia , Estonia ,2000,1,0,2,3,5,1371923,8.18,,,
2000 Ethiopia , Ethiopia ,2000,4,1,3,8,24,64183968,121.79,,,
2000 Finland , Finland ,2000,2,1,1,4,23,5176198,1326.33,,,
2000 France , France ,2000,13,14,11,38,53,59040243,3.06,,,
2000 Georgia , Georgia ,2000,0,0,6,6,2,4720061,1886.4,,,
2000 Germany , Germany ,2000,13,17,26,56,64,82070000,1477.2,,,
2000 Great Britain , Great Britain ,2000,11,10,7,28,72,59627220,124.42,,,
2000 Greece , Greece ,2000,4,6,3,13,43,10759513,46.39,,,
2000 Hungary , Hungary ,2000,8,6,3,17,37,10186926,8.7,,,
2000 Iceland , Iceland ,2000,0,0,1,1,6,281014,474.69,,,
2000 India , India ,2000,0,0,1,1,24,1015923000,165.02,,,
2000 Indonesia , Indonesia ,2000,1,3,2,6,5,212438070,101.29,,,
2000 Iran , Iran ,2000,3,0,1,4,1,64315880,97.52,,,
2000 Ireland , Ireland ,2000,0,1,0,1,32,3801328,124.9,,,
2000 Israel , Israel ,2000,0,0,1,1,8,6338133,1104.01,,,
2000 Italy , Italy ,2000,13,8,13,34,47,57188114,9.01,,,
2000 Jamaica , Jamaica ,2000,0,6,3,9,43,2610455,4731.2,,,
2000 Japan , Japan ,2000,5,8,5,18,40,126879614,18.29,,,
2000 Kazakhstan , Kazakhstan ,2000,3,4,0,7,25,15808408,12.69,,,
2000 Kenya , Kenya ,2000,2,3,2,7,36,30456290,37.72,,,
2000 Kuwait , Kuwait ,2000,0,0,1,1,4,2190000,1.37,,,
2000 Kyrgyzstan , Kyrgyzstan ,2000,0,0,1,1,8,4915300,7.83,,,
2000 Latvia , Latvia ,2000,1,1,1,3,17,2372000,11.43,,,
2000 Lithuania , Lithuania ,2000,2,0,3,5,18,3599014,3.59,,,
2000 Macedonia , Macedonia ,2000,0,0,1,1,2,2015971,581.43,,,
2000 Mexico , Mexico ,2000,1,2,3,6,22,99555200,1.29,,,
2000 Moldova , Moldova ,2000,0,1,1,2,11,4240509,37.02,,,
2000 Morocco , Morocco ,2000,0,1,4,5,24,29651790,4.25,,,
2000 Mozambique , Mozambique ,2000,1,0,0,1,2,18308580,385.07,,,
2000 Netherlands , Netherlands ,2000,12,9,4,25,9,15908833,51.6,,,
2000 New Zealand , New Zealand ,2000,1,0,3,4,8,3845120,45.98,,,
2000 Nigeria , Nigeria ,2000,1,2,0,3,28,124772600,22.0,,,
2000 North Korea , North Korea ,2000,0,1,3,4,6,21939233,168.29,,,
2000 Norway , Norway ,2000,4,3,3,10,12,4483554,171.28,,,
2000 Poland , Poland ,2000,6,5,3,14,35,38648000,117.3,,,
2000 Portugal , Portugal ,2000,0,0,2,2,21,10225800,17.76,,,
2000 Qatar , Qatar ,2000,0,0,1,1,12,606339,37.05,,,
2000 Romania , Romania ,2000,11,6,9,26,23,22178364,259.71,,,
2000 Russia , Russia ,2000,32,28,29,89,109,146731333,188.44,,,
2000 Saudi Arabia , Saudi Arabia ,2000,0,1,1,2,11,21569237,28.72,,,
2000 Slovakia , Slovakia ,2000,1,3,1,5,16,5403318,19.98,,,
2000 Slovenia , Slovenia ,2000,2,0,0,2,19,1976370,132.88,,,
2000 South Africa , South Africa ,2000,0,2,3,5,23,44333333,533.38,,,
2000 South Korea , South Korea ,2000,8,10,10,28,13,46481423,580.35,,,
2000 Spain , Spain ,2000,3,3,5,11,58,39892123,16.33,,,
2000 Sri Lanka , Sri Lanka ,2000,0,1,0,1,13,19278725,247.26,,,
2000 Sweden , Sweden ,2000,4,5,3,12,14,8870350,249.92,,,
2000 Switzerland , Switzerland ,2000,1,6,2,9,13,7190774,326.0,,,
2000 Thailand , Thailand ,2000,1,0,2,3,12,62369873,122.73,,,
2000 Trinidad and Tobago , Trinidad and Tobago ,2000,0,1,1,2,15,1155272,8.15,,,
2000 Turkey , Turkey ,2000,3,0,2,5,5,66251119,266.57,,,
2000 Ukraine , Ukraine ,2000,3,10,10,23,54,49168243,31.26,,,
2000 United States , United States ,2000,37,24,32,93,116,282224000,9898.8,,,
2000 Uruguay , Uruguay ,2000,0,1,0,1,4,3227565,22.82,,,
2000 Uzbekistan , Uzbekistan ,2000,1,1,2,4,22,24650000,13.76,,,
2000 Vietnam , Vietnam ,2000,0,1,0,1,2,77635400,31.17,,,
2000 Yugoslavia , Yugoslavia ,2000,1,1,1,3,24,10348473,120.0,,,
